ticker,last_close,last_date,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,rs_rating,rs_vs_bench_3m,vol_surge,near_high_pct,new_high_20d,new_high_60d,new_high_250d
1101,24.600000381469727,2026-08-25,0.020746887638410483,0.008196752707633648,0.06693722522043144,-0.025040187138074765,,59.5,0.029164087337040012,1.1358677177611323,0.9584351157064198,False,False,False
1102,34.900001525878906,2026-08-25,0.041791090324743374,0.054380759357591124,0.13241961543046066,0.05267175335370755,,73.5,0.09464647754706923,0.8465878181545983,0.9582012495500327,False,False,False
1103,13.25,2026-08-25,0.015325655658390724,0.0,0.043990949334064444,-0.026100278578867875,,55.5,0.0062178114506730164,0.9456856628368274,0.9636839532314438,False,False,False
1104,26.649999618530277,2026-08-25,0.00946969710653045,-0.001872701984285352,0.04666465358231764,-0.04943979144145261,,53.8,0.008891515698926211,0.8993613107517868,0.8692909961529095,False,False,False
1108,11.699999809265137,2026-08-25,-0.008474608462146094,-0.03305789748710786,-0.06509190163953427,-0.16965399325291441,,24.0,-0.1028650395229257,0.40144663157692767,0.8169100094080556,False,False,False
1109,13.5,2026-08-25,-0.018181818181818188,-0.02173914395568488,-0.004592616261146709,-0.08091778265244465,,41.8,-0.04236575414453814,0.8695136959808715,0.8989772606466923,False,False,False
1110,15.949999809265137,2026-08-25,0.00630911201190365,-0.003125011920928955,0.15289005817671053,-0.0177793885030626,,71.5,0.1151169202933191,0.7285987900562704,0.913244490758558,False,False,False
1240,56.900001525878906,2026-08-25,0.0,0.04403672524548452,0.03802776871540603,-3.325179046809179e-05,,56.6,0.0002546308320146018,0.5560956461055325,0.9599680422417001,False,False,False
1301,57.79999923706055,2026-08-25,-0.018675759937545222,-0.0632091001240549,0.28379287143950505,0.2401357674013369,,89.0,0.24601973355611362,0.4500172035375031,0.8731118112022106,False,False,False
1303,188.5,2026-08-25,-0.057499999999999996,0.08333333333333326,0.9833515195549443,1.2656707904744349,,98.0,0.9455783816715528,0.7799358272794359,0.8285714285714286,False,False,False
1304,11.850000381469728,2026-08-25,-0.00420161669439767,-0.03265303008410381,0.007114285948176979,0.0029003951753117097,,51.1,-0.03065885193521445,0.3774815861590228,0.6566936356406491,False,False,False
1305,11.800000190734863,2026-08-25,-0.008403313529497303,-0.0042194252426398515,-0.017053645153197516,0.0036836298099267584,,47.1,-0.054826783036588944,0.47403162211794286,0.6446422862768455,False,False,False
1307,30.600000381469727,2026-08-25,0.009901028117592858,-0.02702703850078636,0.06547620668409926,-0.04107140124726605,,57.7,0.02770306880070783,0.46552379007692407,0.871753233698056,False,False,False
1308,13.649999618530272,2026-08-25,0.014869874505675673,0.02631574607338938,0.07701030518244889,0.002868318487961652,,62.9,0.03923716729905746,0.5142905435541716,0.7133805549042967,False,False,False
1309,13.050000190734863,2026-08-25,0.019531249708961695,-0.05776174503252762,-0.10921503883797812,0.08062443792815777,,37.8,-0.14698817672136955,0.4213318829631179,0.49749502247466665,False,False,False
1310,8.029999732971191,2026-08-25,-0.014723913027706592,-0.1047938133862486,0.04285713401044222,-0.11074197448187129,,47.4,0.005083996127050794,0.38432223817038574,0.6555101822833626,False,False,False
1312,11.850000381469728,2026-08-25,0.004237304231073269,-0.03265303008410381,0.18737484218504963,-0.08139529210158014,,71.8,0.1496017043016582,0.21597997426888266,0.7847682173579079,False,False,False
1313,11.649999618530272,2026-08-25,0.004310278915198529,0.03097340016705319,0.14090324226804896,0.08808367688771535,,75.7,0.10313010438465753,0.2998153652493502,0.8146852771427543,False,False,False
1314,7.900000095367432,2026-08-25,0.00508905358442302,-0.017412918799732058,0.14492753422878746,-0.03775882354922733,,69.9,0.10715439634539603,0.392469556595467,0.7596154216478577,False,False,False
1315,66.30000305175781,2026-08-25,0.007598783842102552,0.02790702405826062,0.06935488793157751,0.05386278350441076,,65.8,0.031581750048186086,0.6490009583212044,1.0,True,True,False
1316,11.050000190734863,2026-08-25,0.05741630549483423,0.08867001044625789,0.08867001044625789,-0.21352312877392854,,46.6,0.05089687256286646,2.275081098207261,0.6717325032366951,False,False,False
1319,82.5999984741211,2026-08-25,0.008546971125769742,0.13150682841261774,0.10526420564348427,-0.1513728276974904,,55.4,0.06749106776009284,0.3526622596974172,0.7563851089786466,False,False,False
1321,33.04999923706055,2026-08-25,0.040944857860174766,0.015360983462964661,0.13769363528577983,-0.010479109964925293,,70.8,0.0999204974023884,0.6300130792278305,0.9005449196185095,True,True,False
1323,21.600000381469727,2026-08-25,0.014084561274875451,0.08542717565463964,0.11730573596111382,0.2037108272018202,,79.4,0.0795325980777224,0.1659193564045565,0.9156015149447339,False,False,False
1324,9.979999542236328,2026-08-25,-0.002000045776367143,-0.03574887203828869,-0.02156865403359831,-0.0759259846311855,,39.6,-0.05934179191698974,0.1512974055776242,0.7827450621361826,False,False,False
1325,25.850000381469727,2026-08-25,-0.0019304725018134405,-0.06846845472181162,-0.039033429440543554,-0.12372880062814484,,32.6,-0.07680656732393498,0.3946157207951518,0.7220670651498095,False,False,False
