ticker,board,period,revenue,mom_pct,yoy_pct
1101,TWSE,11507,13744103.0,2.70047776585692,1.5379365538929763
1102,TWSE,11507,5398231.0,-8.286498814469386,-7.510532691177554
1103,TWSE,11507,242322.0,5.70806632437172,-3.789698531367746
1104,TWSE,11507,663235.0,30.439955945403767,15.329572684053293
1108,TWSE,11507,309786.0,16.7695073822923,-13.325238100567413
1109,TWSE,11507,292047.0,-7.03137186241584,-20.639186519528586
1110,TWSE,11507,261007.0,22.26068464147196,36.961221598362805
1201,TWSE,11507,1991488.0,9.082045638910236,7.623682865168843
1203,TWSE,11507,431017.0,0.8078341671285869,-1.8184510250569477
1210,TWSE,11507,9639463.0,7.67717344631279,21.499914289891752
1213,TWSE,11507,32555.0,28.82865057380293,39.79902950143857
1215,TWSE,11507,2562688.0,5.905782382785881,8.050010097982048
1216,TWSE,11507,62168637.0,6.63370708949771,8.84909301522625
1217,TWSE,11507,505906.0,22.10719914653897,3.890881983904189
1218,TWSE,11507,563843.0,-21.000297031922525,-36.925233352126796
1219,TWSE,11507,882904.0,-20.028405231055178,-20.10439138807245
1220,TWSE,11507,279357.0,2.1041666666666665,1.380496673961089
1225,TWSE,11507,903312.0,-10.273199726641344,-10.25804567211688
1227,TWSE,11507,2077948.0,6.588875700308489,7.744358446140213
1229,TWSE,11507,2104623.0,104.92581914418165,114.98296171902771
1231,TWSE,11507,1184866.0,15.017555508313748,3.533739650916399
1232,TWSE,11507,2488656.0,33.365058133552836,41.52200689908524
1233,TWSE,11507,166958.0,-14.586381541924592,4.0554437180198315
1234,TWSE,11507,866862.0,19.03030469468741,2.439439435890709
1235,TWSE,11507,8605.0,-26.023039889958735,-33.44419522004795
1236,TWSE,11507,167970.0,52.406271549377564,23.440186957096873
1256,TWSE,11507,619291.0,7.600421859552738,21.989563860780564
1301,TWSE,11507,15293925.0,9.427770234040919,4.7740523533036185
1303,TWSE,11507,30572583.0,12.67014075612414,44.53141597903039
1304,TWSE,11507,3340929.0,16.03820276934651,-4.945256294772134
1305,TWSE,11507,567866.0,0.6308633968095324,-24.55061815331265
1307,TWSE,11507,1066159.0,24.999003439891013,11.016019950747893
1308,TWSE,11507,501654.0,-2.9085588427698275,7.733607076666029
1309,TWSE,11507,1032063.0,71.55102916023252,-10.607829652483167
1310,TWSE,11507,668728.0,17.422674076610388,-14.518687628545754
1312,TWSE,11507,1422114.0,11.3179869810665,-5.015792697221701
1313,TWSE,11507,5091842.0,-3.2466028375923313,-0.7827919442947848
